Identifiant,"Date (AAAA/MM/JJ)",Heure,Nom,"Région épicentrale",Choc,"X RGF93/L93","Y RGF93/L93","Latitude en WGS 84","Longitude en WGS 84","Intensité épicentrale","Qualité intensité épicentrale"
640448,1982/01/27,"0 h 18 min 58 sec","BEARN (VAL-DU-GAVE-D'ASPE)","PYRENEES OCCIDENTALES",,407903.09,6223372.03,43.05,-0.58,4,INCERTAINE
700020,1982/03/21,"12 h 20 min 7 sec","PLATEAU DE HAUTE-SAONE (SCEY-SUR-SAONE)",FRANCHE-COMTE,,922591.93,6733768.65,47.67,5.97,3,"INFORMATION ISOLÉE"
640446,1982/04/24,"17 h 5 min 30 sec","BEARN (SARRANCE)","PYRENEES OCCIDENTALES",,407903.09,6223372.03,43.05,-0.58,5,SURE
1150033,1982/04/28,"21 h 33 min 1 sec","MANCHE (N. ABER VRAC'H)",BRETAGNE,,135802.75,6875605.26,48.73,-4.68,4,INCERTAINE
640439,1982/06/11,"19 h 48 min 45 sec","OSSAU (ARUDY)","PYRENEES OCCIDENTALES",PRECURSEUR,422997.60,6226413.91,43.08,-0.40,4,"ASSEZ SURE"
640437,1982/06/12,"9 h 59 min 12 sec","OSSAU (CASTET)","PYRENEES OCCIDENTALES",,420203.08,6224680.16,43.07,-0.43,5.5,SURE
640438,1982/06/12,"17 h 23 min 51 sec","OSSAU (CASTET ?)","PYRENEES OCCIDENTALES",REPLIQUE,422997.60,6226413.91,43.08,-0.40,5,INCERTAINE
640444,1982/08/25,"20 h 59 min 2 sec","BEARN (S. ARTHEZ-D'ASSON)","PYRENEES OCCIDENTALES",,430907.65,6220513.79,43.03,-0.30,6,INCERTAINE
650441,1982/08/31,"13 h 24 min 55 sec","LAVEDAN (ARGELES-GAZOST)","PYRENEES CENTRALES",,447062.16,6216149.41,43.00,-0.10,3.5,"INFORMATION ISOLÉE"
60115,1982/09/02,"21 h 45 min 25 sec","ALPES NICOISES (VALDEBLORE)","ALPES MARITIMES",,1037646.72,6338757.98,44.07,7.22,4.5,SURE
40161,1982/09/29,"19 h 44 min 18 sec","PREALPES DE DIGNE (SEYNE-LES-ALPES)","ALPES PROVENCALES",,966960.92,6366882.55,44.35,6.35,3.5,"INFORMATION ISOLÉE"
170105,1982/10/23,"9 h 54 min 29 sec","AUNIS (CHATELAILLON-PLAGE)",CHARENTES,,383311.76,6561951.64,46.08,-1.10,4,"ASSEZ SURE"
880047,1982/11/02,"23 h 56 min 3 sec","HAUTES-VOSGES (LE SYNDICAT)",VOSGES,,973532.19,6769271.65,47.97,6.67,4,"ASSEZ SURE"
630086,1982/11/07,"2 h 1 min 15 sec","COMBRAILLE (ST-ELOY-LES-MINES)",AUVERGNE,,687136.32,6561145.03,46.15,2.83,5,"ASSEZ SURE"
740123,1982/11/08,"13 h 2 min 31 sec","FAUCIGNY (BONNEVILLE)","ALPES SAVOYARDES",,961290.33,6561177.57,46.10,6.38,5,SURE
740124,1982/11/08,"13 h 7 min 56 sec","FAUCIGNY (BONNEVILLE)","ALPES SAVOYARDES",REPLIQUE,963943.13,6559439.26,46.08,6.42,3,"INFORMATION ISOLÉE"
740125,1982/11/08,"13 h 26 min 9 sec","FAUCIGNY (BONNEVILLE)","ALPES SAVOYARDES",REPLIQUE,961290.33,6561177.57,46.10,6.38,3,INCERTAINE
740126,1982/11/08,"14 h 37 min 5 sec","FAUCIGNY (BONNEVILLE)","ALPES SAVOYARDES",REPLIQUE,961290.33,6561177.57,46.10,6.38,4,INCERTAINE
440064,1982/11/09,"13 h 44 min 47 sec","PAYS DE NANTES (NANTES)","PAYS NANTAIS ET VENDEEN",,350693.55,6687959.76,47.20,-1.62,3.5,SURE
670129,1982/11/21,"6 h 55 min 11 sec","PLAINE DE BASSE-ALSACE (OBENHEIM)",ALSACE,,1046660.81,6817656.90,48.37,7.68,3.5,"ASSEZ SURE"
730192,1982/11/22,"1 h 55 min 19 sec","MAURIENNE (ST-JEAN-DE-MAURIENNE)","ALPES SAVOYARDES",,962642.62,6468607.50,45.27,6.35,3,INCERTAINE
290034,1982/12/21,"18 h 45 min 41 sec","PAYS DE BREST (GUIPAVAS)",BRETAGNE,,153945.35,6845947.14,48.48,-4.40,5,SURE
1130151,1982/12/23,"14 h 48 min 13 sec","MEDITERRANEE (GOLFE DU LION)",LANGUEDOC,,765289.94,6211514.45,43.00,3.80,5,ARBITRAIRE
860032,1983/01/01,"19 h 1 min 57 sec","PLAINES DU HAUT-POITOU (CHALANDRAY)",POITOU,,471962.52,6622817.92,46.67,0.02,3,INCERTAINE
640459,1983/01/16,"7 h 23 min 1 sec","OSSAU (ARUDY)","PYRENEES OCCIDENTALES",,428269.38,6222479.48,43.05,-0.33,3.5,ARBITRAIRE
630087,1983/01/21,"9 h 41 min 56 sec","MONTS-DORE (ROCHEFORT-MONTAGNE)",AUVERGNE,,685729.68,6509324.36,45.68,2.82,4,INCERTAINE
640449,1983/01/23,"18 h 22 min 49 sec","BEARN (ARTIX)","PYRENEES OCCIDENTALES",,411017.63,6262180.83,43.40,-0.57,3,INCERTAINE
640450,1983/01/24,"20 h 38 min 49 sec","OSSAU (ARUDY)","PYRENEES OCCIDENTALES",,428347.59,6224330.97,43.07,-0.33,5,"ASSEZ SURE"
730193,1983/01/25,"19 h 0 min 10 sec","TARENTAISE (MOUTIERS)","ALPES SAVOYARDES",,975764.79,6496970.02,45.52,6.53,5,"ASSEZ SURE"
250030,1983/02/03,"2 h 48 min 30 sec","AVANT-PAYS JURASSIEN (RANDEVILLERS)",FRANCHE-COMTE,,965564.89,6696619.37,47.32,6.52,4,INCERTAINE
290037,1983/02/24,"17 h","PAYS DE BREST (BREST)",BRETAGNE,,141506.79,6845268.56,48.47,-4.57,3,"INFORMATION ISOLÉE"
680120,1983/02/25,"4 h 37 min 18 sec","PLAINE DE HAUTE-ALSACE (MUNCHHOUSE)",ALSACE,REPLIQUE,1032433.73,6763029.65,47.88,7.45,3,ARBITRAIRE
490081,1983/03/09,"8 h 52 min 16 sec","VALLEE DU LAYON (CLERE)",ANJOU,,437152.21,6672408.76,47.10,-0.47,2.5,INCERTAINE
640460,1983/03/17,"13 h 45 min 12 sec","BEARN (ARTHEZ-D'ASSON)","PYRENEES OCCIDENTALES",,435211.23,6225899.30,43.08,-0.25,3.5,"INFORMATION ISOLÉE"
40163,1983/03/20,"16 h 1 min 31 sec","PREALPES DE DIGNE (SEYNE-LES-ALPES)","ALPES PROVENCALES",,966725.33,6372432.08,44.40,6.35,5,"ASSEZ SURE"
40164,1983/03/20,"21 h 50 min 26 sec","PREALPES DE DIGNE (SEYNE-LES-ALPES)","ALPES PROVENCALES",REPLIQUE,966725.33,6372432.08,44.40,6.35,4,"ASSEZ SURE"
740129,1983/03/21,"5 h 14 min 57 sec","CHABLAIS (MORZINE)","ALPES SAVOYARDES",,985295.49,6571518.49,46.18,6.70,4,INCERTAINE
870024,1983/03/21,"16 h 45 min 5 sec","BASSE-MARCHE (LE DORAT)",LIMOUSIN,PRECURSEUR,545746.27,6566786.73,46.18,1.00,2.5,INCERTAINE
870025,1983/03/23,"6 h 53 min 5 sec","BASSE-MARCHE (LE DORAT)",LIMOUSIN,,545746.27,6566786.73,46.18,1.00,3.5,INCERTAINE
640451,1983/03/26,"4 h 37 min 15 sec","BEARN (ARETTE)","PYRENEES OCCIDENTALES",,394591.06,6229555.87,43.10,-0.75,3.5,"ASSEZ SURE"
640452,1983/03/30,"18 h 11 min 19 sec","BEARN (ARETTE)","PYRENEES OCCIDENTALES",,393057.97,6225918.59,43.07,-0.77,5,INCERTAINE
50092,1983/04/13,"8 h 49 min 31 sec","QUEYRAS (REOTIER-SAINT-CREPIN)","ALPES DAUPHINOISES",,987821.18,6404869.66,44.68,6.63,4,"ASSEZ SURE"
640453,1983/04/17,"11 h 38 min 49 sec","BEARN (ARTIX)","PYRENEES OCCIDENTALES",,411017.63,6262180.83,43.40,-0.57,4,"INFORMATION ISOLÉE"
870026,1983/04/21,"1 h 53 min 8 sec","BASSE-MARCHE (BELLAC)",LIMOUSIN,,549327.60,6555588.57,46.08,1.05,5,"ASSEZ SURE"
870027,1983/04/21,"5 h 58 min 48 sec","BASSE-MARCHE (BELLAC)",LIMOUSIN,REPLIQUE,549327.60,6555588.57,46.08,1.05,3,"ASSEZ SURE"
870028,1983/04/21,"19 h 7 min 2 sec","BASSE-MARCHE (BELLAC)",LIMOUSIN,REPLIQUE,549327.60,6555588.57,46.08,1.05,4,"ASSEZ SURE"
870029,1983/04/21,"23 h 31 min 14 sec","BASSE-MARCHE (BELLAC)",LIMOUSIN,REPLIQUE,549327.60,6555588.57,46.08,1.05,3.5,INCERTAINE
60116,1983/04/23,"0 h 18 min 28 sec","ALPES NICOISES (BREIL-SUR-ROYA)","ALPES MARITIMES",,1062596.51,6323446.72,43.92,7.52,4,INCERTAINE
790028,1983/04/26,"22 h 56 min 6 sec","BOCAGE VENDEEN (GLENAY)",POITOU,,452428.10,6643966.46,46.85,-0.25,2,INCERTAINE
640454,1983/06/06,"1 h 29 min 48 sec","OSSAU (ARUDY)","PYRENEES OCCIDENTALES",,428269.38,6222479.48,43.05,-0.33,5,"ASSEZ SURE"
440067,1983/06/12,"0 h 18 min 9 sec","ESTUAIRE DE LA LOIRE (LE PELLERIN)","PAYS NANTAIS ET VENDEEN",,340617.31,6688558.09,47.20,-1.75,3,INCERTAINE
290036,1983/06/16,"15 h 19 min 41 sec","PAYS DE BREST (BREST)",BRETAGNE,,143606.71,6841344.85,48.43,-4.53,3,"ASSEZ SURE"
250032,1983/06/21,"15 h 3 min 3 sec","JURA (ORNANS)",FRANCHE-COMTE,,937587.89,6671352.49,47.10,6.13,4.5,INCERTAINE
530014,1983/07/07,"3 h 52 min 25 sec","PAYS DE GORRON (LANDIVY)",MAINE,,401785.37,6822401.56,48.43,-1.03,4.5,SURE
640455,1983/07/18,"23 h 44 min 0 sec","BEARN (ARTHEZ-DE-BEARN)","PYRENEES OCCIDENTALES",,405875.56,6267978.92,43.45,-0.63,4.5,"ASSEZ SURE"
660086,1983/07/20,"19 h 8 min 14 sec","CONFLENT (MONT-CANIGOU)","PYRENEES ORIENTALES",,645074.96,6150244.60,42.45,2.33,4,INCERTAINE
380105,1983/07/24,"10 h 36 min 22 sec","BAS-PLATEAUX DAUPHINOIS (LA TOUR-DU-PIN)",DAUPHINE,,893673.95,6499397.54,45.57,5.48,2.5,"INFORMATION ISOLÉE"
50090,1983/07/25,"18 h 31 min 16 sec","BRIANCONNAIS (BRIANCON)","ALPES DAUPHINOISES",,987942.98,6430819.70,44.92,6.65,4,INCERTAINE
500051,1983/08/03,"3 h 7 min 20 sec","AVRANCHIN (ST-JAMES)",NORMANDIE,,381362.69,6832758.68,48.52,-1.32,3,"INFORMATION ISOLÉE"
440065,1983/08/14,"15 h 35 min 52 sec","PAYS DE PONTCHATEAU (ST-GILDAS-DES-BOIS)","PAYS NANTAIS ET VENDEEN",,320315.99,6726919.08,47.53,-2.05,4.5,"ASSEZ SURE"
640456,1983/08/17,"1 h 31 min 47 sec","BEARN (ARTHEZ-DE-BEARN)","PYRENEES OCCIDENTALES",,405875.56,6267978.92,43.45,-0.63,3,"ASSEZ SURE"
50089,1983/08/29,"15 h 32 min 23 sec","BRIANCONNAIS (BRIANCON)","ALPES DAUPHINOISES",,989256.87,6430880.62,44.92,6.67,3.5,INCERTAINE
70011,1983/09/10,"8 h 8 min 53 sec","BAS-VIVARAIS (ST-ETIENNE-DE-BOULOGNE)",CEVENNES,,813544.35,6401128.54,44.70,4.43,5,"INFORMATION ISOLÉE"
40162,1983/09/13,"23 h 26 min 6 sec","UBAYE (JAUSIERS)","ALPES PROVENCALES",,997137.03,6375650.42,44.42,6.73,4,"INFORMATION ISOLÉE"
790027,1983/09/14,"4 h 32 min 42 sec","BOCAGE VENDEEN (BRESSUIRE)",POITOU,,435933.55,6644668.41,46.85,-0.47,4,SURE
60120,1983/10/13,"8 h 52 min 28 sec","ALPES NICOISES (BREIL-SUR-ROYA)","ALPES MARITIMES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",1067083.02,6338545.23,44.05,7.58,3,"INFORMATION ISOLÉE"
680117,1983/10/24,"21 h 31 min 27 sec","PLAINE DE HAUTE-ALSACE (OTTMARSHEIM)",ALSACE,,1036797.78,6752148.28,47.78,7.50,3.5,INCERTAINE
790030,1983/10/24,"20 h 23 min 50 sec","MELLOIS (CHAUNAY)",POITOU,,480212.65,6568799.96,46.18,0.15,4,"ASSEZ SURE"
640458,1983/10/26,"6 h 3 min 33 sec","OSSAU (LOUVIE-JUZON)","PYRENEES OCCIDENTALES",,421640.56,6226472.52,43.08,-0.42,3,"ASSEZ SURE"
60117,1983/11/01,"4 h 0 min 26 sec","ALPES NICOISES (BREIL-SUR-ROYA)","ALPES MARITIMES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",1062596.51,6323446.72,43.92,7.52,4,"ASSEZ SURE"
60118,1983/11/01,"4 h 3 min 50 sec","ALPES NICOISES (BREIL-SUR-ROYA)","ALPES MARITIMES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",1062596.51,6323446.72,43.92,7.52,3.5,"ASSEZ SURE"
730194,1983/11/11,"21 h 10 min 28 sec","VANOISE (TIGNES)","ALPES SAVOYARDES",,1003424.05,6490858.17,45.45,6.88,5,"ASSEZ SURE"
790031,1983/11/20,"23 h 41 min 11 sec","PLAINE DE NIORT (VILLIERS-EN-PLAINE)",POITOU,,430935.62,6589305.95,46.35,-0.50,4,"ASSEZ SURE"
60121,1983/12/04,"17 h 34 min 53 sec","ALPES NICOISES (BREIL-SUR-ROYA)","ALPES MARITIMES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",1062490.64,6325295.57,43.93,7.52,4,INCERTAINE
60124,1983/12/05,"10 h 39 min 37 sec","ALPES NICOISES (BREIL-SUR-ROYA)","ALPES MARITIMES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",1062490.64,6325295.57,43.93,7.52,4,INCERTAINE
60125,1983/12/10,"23 h 39 min 12 sec","ALPES NICOISES (BREIL-SUR-ROYA)","ALPES MARITIMES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",1062490.64,6325295.57,43.93,7.52,3,"INFORMATION ISOLÉE"
680115,1983/12/11,"16 h 0 min 23 sec","VOSGES ALSACIENNES (MUNSTER)",ALSACE,,1011747.25,6776735.70,48.02,7.18,4,INCERTAINE
680116,1983/12/11,"21 h 36 min 56 sec","VOSGES ALSACIENNES (MUNSTER)",ALSACE,REPLIQUE,1011747.25,6776735.70,48.02,7.18,3,INCERTAINE
60127,1983/12/14,"14 h 45 min 40 sec","ALPES NICOISES (BREIL-SUR-ROYA)","ALPES MARITIMES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",1062490.64,6325295.57,43.93,7.52,3.5,"INFORMATION ISOLÉE"
60128,1983/12/15,"22 h 16 min 31 sec","ALPES NICOISES (BREIL-SUR-ROYA)","ALPES MARITIMES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",1062490.64,6325295.57,43.93,7.52,4,"INFORMATION ISOLÉE"
40165,1983/12/22,"18 h 12 min 22 sec","UBAYE (BARCELONNETTE)","ALPES PROVENCALES",,992092.75,6369853.29,44.37,6.67,4,"ASSEZ SURE"
650444,1983/12/25,"16 h 47 min 54 sec","BIGORRE (OSSEN)","PYRENEES CENTRALES",,450068.33,6223450.24,43.07,-0.07,3.5,"INFORMATION ISOLÉE"
40166,1984/01/10,"15 h 58 min 30 sec","UBAYE (BARCELONNETTE)","ALPES PROVENCALES",,990680.43,6371641.23,44.38,6.65,3.5,"INFORMATION ISOLÉE"
60137,1984/01/12,"11 h 54 min 37 sec","ALPES NICOISES (BREIL-SUR-ROYA)","ALPES MARITIMES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",1062490.64,6325295.57,43.93,7.52,4,"INFORMATION ISOLÉE"
830016,1984/01/30,"20 h 8 min 26 sec","BASSE-PROVENCE (AIGUINES)",PROVENCE,,961587.19,6303641.30,43.78,6.25,3.5,"INFORMATION ISOLÉE"
130118,1984/02/19,"21 h 14 min 37 sec","BASSE-PROVENCE (MIMET)",PROVENCE,,902534.12,6260712.25,43.42,5.50,6,SURE
130119,1984/02/20,"3 h 34 min 51 sec","BASSE-PROVENCE (MIMET)",PROVENCE,REPLIQUE,902534.12,6260712.25,43.42,5.50,4,"ASSEZ SURE"
650445,1984/02/23,"5 h 51 min 43 sec","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",,464597.17,6211775.66,42.97,0.12,5,"ASSEZ SURE"
640462,1984/02/25,"2 h 3 min 17 sec","PAYS BASQUE (BAIGORRY)","PYRENEES OCCIDENTALES",,346077.75,6237612.61,43.15,-1.35,6,"ASSEZ SURE"
50096,1984/04/05,"6 h 37 min 30 sec","QUEYRAS (L'ARGENTIERE-LA-BESSEE)","ALPES DAUPHINOISES",,981958.60,6417574.34,44.80,6.57,3.5,"INFORMATION ISOLÉE"
260192,1984/04/17,"8 h 53 min 39 sec","VERCORS (ROCHEFORT-SAMSON)",DAUPHINE,,870761.37,6433910.79,44.98,5.17,5.5,SURE
260193,1984/04/19,"20 h 41 min 18 sec","VERCORS (ROCHEFORT-SAMSON)",DAUPHINE,REPLIQUE,872074.53,6433946.97,44.98,5.18,5,SURE
740131,1984/05/03,"8 h 56 min 51 sec","FAUCIGNY (CLUSES)","ALPES SAVOYARDES",,971828.06,6556080.44,46.05,6.52,5,"ASSEZ SURE"
40176,1984/06/19,"11 h 40 min 37 sec","PREALPES DE DIGNE (AIGLUN)","ALPES PROVENCALES",,952360.94,6332922.98,44.05,6.15,6,SURE
40177,1984/06/30,"19 h 34 min 6 sec","PREALPES DE DIGNE (AIGLUN)","ALPES PROVENCALES",REPLIQUE,951026.37,6332869.85,44.05,6.13,5.5,SURE
640468,1984/08/29,"23 h 30 min 12 sec","PAYS BASQUE (BEHORLEGUY)","PYRENEES OCCIDENTALES",,368822.86,6230832.34,43.10,-1.07,5,"ASSEZ SURE"
640493,1984/09/10,"5 h 53 min 22 sec","OSSAU (LOUVIE-JUZON)","PYRENEES OCCIDENTALES",,424354.65,6226355.58,43.08,-0.38,4,"ASSEZ SURE"
250033,1984/10/13,"21 h 23 min 15 sec","AVANT-PAYS JURASSIEN (BESANCON)",FRANCHE-COMTE,,935740.43,6686101.00,47.23,6.12,4,"ASSEZ SURE"
730197,1984/11/05,"7 h 56 min 1 sec","MAURIENNE (ST-JEAN-DE-MAURIENNE)","ALPES SAVOYARDES",,963790.75,6472361.59,45.30,6.37,4,"ASSEZ SURE"
650447,1984/11/17,"4 h 10 min 42 sec","BIGORRE (PIC DU MIDI ?)","PYRENEES CENTRALES",,459226.02,6213828.58,42.98,0.05,4.5,INCERTAINE
660087,1984/12/02,"21 h 49 min 11 sec","FENOUILLEDES (ST-PAUL-DE-FENOUILLET)","PYRENEES ORIENTALES",,661782.31,6189056.28,42.80,2.53,5,"ASSEZ SURE"
880049,1984/12/22,"2 h 18 min 18 sec","HAUTES-VOSGES (ELOYES-REMIREMONT)",VOSGES,PRECURSEUR,968055.88,6780143.59,48.07,6.60,5,"ASSEZ SURE"
880053,1984/12/29,"11 h 2 min 37 sec","HAUTES-VOSGES (ELOYES-REMIREMONT)",VOSGES,,967971.47,6781993.72,48.08,6.60,6,SURE
880059,1984/12/31,"23 h 26 min 53 sec","HAUTES-VOSGES (ELOYES-REMIREMONT)",VOSGES,REPLIQUE,968055.88,6780143.59,48.07,6.60,5,"ASSEZ SURE"
730198,1985/01/04,"23 h 59 min 56 sec","VANOISE (ST-MARTIN-DE-BELLEVILLE)","ALPES SAVOYARDES",,979367.55,6474898.66,45.32,6.57,5,"ASSEZ SURE"
1120164,1985/01/04,"16 h 57 min 40 sec","BAS-VALAIS (W. MARTIGNY ?)",SUISSE,,998861.39,6557345.23,46.05,6.87,3.5,INCERTAINE
30034,1985/01/17,"3 h 11 min 36 sec","BOCAGE BOURBONNAIS (BUXIERES-LES-MINES)",BOURBONNAIS,,696162.00,6594448.46,46.45,2.95,3,"ASSEZ SURE"
650448,1985/02/08,"1 h 31 min 4 sec","BIGORRE (BEAUDEAN)","PYRENEES CENTRALES",,468677.53,6211627.90,42.97,0.17,5,INCERTAINE
40194,1985/02/10,"21 h 59 min 40 sec","PREALPES DE DIGNE (DIGNE)","ALPES PROVENCALES",,958806.03,6338743.55,44.10,6.23,3.5,"INFORMATION ISOLÉE"
680121,1985/02/28,"21 h 33 min 2 sec","SUNDGAU (BLOTZHEIM)",ALSACE,,1035457.26,6731670.51,47.60,7.47,5,"ASSEZ SURE"
